window_seconds,modality,fold,class,precision,recall,f1-score,support
2.0,accel,5,weighted avg,0.5210147997452298,0.49255042647435665,0.4903944398166673,27317.0
2.0,gyro,1,locomotion,0.9190751445086706,0.7744473585612589,0.840585603904026,2669.0
2.0,gyro,1,stairs,0.6903508771929825,0.5842613214550854,0.6328910333735425,1347.0
2.0,gyro,1,static,0.2898172323759791,0.275092936802974,0.28226319135410044,3228.0
2.0,gyro,1,eat_drink,0.5593011535446298,0.6404206206719671,0.5971184312787708,7798.0
2.0,gyro,1,sports,0.7098083427282976,0.7642631706724933,0.7360299275192892,4119.0
2.0,gyro,1,upper_body,0.5843464007649228,0.536291839037232,0.5592887959210354,7977.0
2.0,gyro,1,accuracy,0.5955486771316972,0.5955486771316972,0.5955486771316972,0.5955486771316972
2.0,gyro,1,macro avg,0.6254498585192471,0.5957962078668351,0.6080294972251273,27138.0
2.0,gyro,1,weighted avg,0.5993406447167411,0.5955486771316972,0.5953517688883098,27138.0
2.0,gyro,2,locomotion,0.842008797653959,0.8510559466469063,0.8465081997420306,2699.0
2.0,gyro,2,stairs,0.6795201371036846,0.5895910780669145,0.6313694267515924,1345.0
2.0,gyro,2,static,0.4943820224719101,0.02546296296296296,0.048431480462300495,3456.0
2.0,gyro,2,eat_drink,0.5587696068445712,0.3508569966743413,0.4310520939734423,7818.0
2.0,gyro,2,sports,0.6842564326210205,0.8451387018583356,0.7562356910471141,3713.0
2.0,gyro,2,upper_body,0.4665880792750313,0.7808877928483354,0.5841442604805608,8110.0
2.0,gyro,2,accuracy,0.567112486643823,0.567112486643823,0.567112486643823,0.567112486643823
2.0,gyro,2,macro avg,0.6209208459950294,0.5738322465096327,0.5496235254095069,27141.0
2.0,gyro,2,weighted avg,0.5743434229574674,0.567112486643823,0.5238043937438561,27141.0
2.0,gyro,3,locomotion,0.8123198847262247,0.833641404805915,0.822842546980478,2705.0
2.0,gyro,3,stairs,0.593711467324291,0.622093023255814,0.6075709779179811,1548.0
2.0,gyro,3,static,0.2845528455284553,0.028965517241379312,0.05257886830245368,3625.0
2.0,gyro,3,eat_drink,0.4387755102040816,0.864824189355589,0.5821782178217821,7309.0
2.0,gyro,3,sports,0.6944012441679627,0.6780561883067577,0.6861313868613139,3951.0
2.0,gyro,3,upper_body,0.5364727608494921,0.2825531914893617,0.37015210639483953,8225.0
2.0,gyro,3,accuracy,0.5352848737346051,0.5352848737346051,0.5352848737346051,0.5352848737346051
2.0,gyro,3,macro avg,0.560038952133418,0.5516889190758028,0.5202423507131414,27363.0
2.0,gyro,3,weighted avg,0.5303136601403142,0.5352848737346051,0.4885229740760017,27363.0
2.0,gyro,4,locomotion,0.9708097928436912,0.3341977309562399,0.4972269110200145,3085.0
2.0,gyro,4,stairs,0.44610778443113774,0.3399885909868796,0.38588539980576236,1753.0
2.0,gyro,4,static,0.16147832267235251,0.43776493256262045,0.23592938733125648,2595.0
2.0,gyro,4,eat_drink,0.5092169528911297,0.44298245614035087,0.4737960859048596,7296.0
2.0,gyro,4,sports,0.4896373056994819,0.6715522984676882,0.5663451634048132,4503.0
2.0,gyro,4,upper_body,0.5585652904913133,0.37018695060047047,0.44527177959791514,8077.0
2.0,gyro,4,accuracy,0.4397451389651763,0.4397451389651763,0.4397451389651763,0.4397451389651763
2.0,gyro,4,macro avg,0.5226359081715177,0.43277882661904155,0.4340757878441035,27309.0
2.0,gyro,4,weighted avg,0.5356339276986383,0.4397451389651763,0.45502096612351045,27309.0
2.0,gyro,5,locomotion,0.9663636363636363,0.34647979139504564,0.5100767754318618,3068.0
2.0,gyro,5,stairs,0.36498993963782694,0.6103633916554508,0.45681188617476703,1486.0
2.0,gyro,5,static,0.36908517350157727,0.07158152340165189,0.11990776325903152,3269.0
